1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. PARENT CO NAME,15. PARENT CO DB NUM,16. STANDARD PARENT CO NAME,17. FEDERAL FACILITY,18. INDUSTRY SECTOR CODE,19. INDUSTRY SECTOR,20. PRIMARY SIC,26. PRIMARY NAICS,27. NAICS 2,32. DOC_CTRL_NUM,33. CHEMICAL,34. ELEMENTAL METAL INCLUDED,35. CAS #/COMPOUND ID,36. SRS ID,37. CLEAN AIR ACT CHEMICAL,38. CLASSIFICATION,39. METAL,40. METAL CATEGORY,41. CARCINOGEN,42. FORM TYPE,43. UNIT OF MEASURE,44. 5.1 - FUGITIVE AIR,45. 5.2 - STACK AIR,46. 5.3 - WATER,47. 5.4 - UNDERGROUND,48. 5.4.1 - UNDERGROUND CL I,49. 5.4.2 - UNDERGROUND C II-V,50. 5.5.1 - LANDFILLS,51. 5.5.1A - RCRA C LANDFILL,52. 5.5.1B - OTHER LANDFILLS,53. 5.5.2 - LAND TREATMENT,54. 5.5.3 - SURFACE IMPNDMNT,55. 5.5.3A - RCRA SURFACE IM,56. 5.5.3B - OTHER SURFACE I,57. 5.5.4 - OTHER DISPOSAL,58. ON-SITE RELEASE TOTAL,59. 6.1 - POTW - TRNS RLSE,60. 6.1 - POTW - TRNS TRT,61. POTW - TOTAL TRANSFERS,62. 6.2 - M10,63. 6.2 - M41,64. 6.2 - M62,65. 6.2 - M40 METAL,66. 6.2 - M61 METAL,67. 6.2 - M71,68. 6.2 - M81,69. 6.2 - M82,70. 6.2 - M72,71. 6.2 - M63,72. 6.2 - M66,73. 6.2 - M67,74. 6.2 - M64,75. 6.2 - M65,76. 6.2 - M73,77. 6.2 - M79,78. 6.2 - M90,79. 6.2 - M94,80. 6.2 - M99,81. OFF-SITE RELEASE TOTAL,82. 6.2 - M20,83. 6.2 - M24,84. 6.2 - M26,85. 6.2 - M28,86. 6.2 - M93,87. OFF-SITE RECYCLED TOTAL,88. 6.2 - M56,89. 6.2 - M92,90. OFF-SITE ENERGY RECOVERY T,91. 6.2 - M40 NON-METAL,92. 6.2 - M50,93. 6.2 - M54,94. 6.2 - M61 NON-METAL,95. 6.2 - M69,96. 6.2 - M95,97. OFF-SITE TREATED TOTAL,98. 6.2 - UNCLASSIFIED,99. 6.2 - TOTAL TRANSFER,100. TOTAL RELEASES,101. 8.1 - RELEASES,102. 8.1A - ON-SITE CONTAINED,103. 8.1B - ON-SITE OTHER,104. 8.1C - OFF-SITE CONTAIN,105. 8.1D - OFF-SITE OTHER R,106. 8.2 - ENERGY RECOVER ON,107. 8.3 - ENERGY RECOVER OF,108. 8.4 - RECYCLING ON SITE,109. 8.5 - RECYCLING OFF SIT,110. 8.6 - TREATMENT ON SITE,111. 8.7 - TREATMENT OFF SITE,112. PRODUCTION WSTE (8.1-8.7),113. 8.8 - ONE-TIME RELEASE,114. PROD_RATIO_OR_ ACTIVITY,115. 8.9 - PRODUCTION RATIO,New Georeferenced Column
2015,84528PCFCR10MIL,110020101922,PACIFICORP ENERGY-HUNTINGTON PLANT,10 MILES W OF HUNTINGTON,HUNTINGTON,EMERY,UT,84528,,,39.381462,-111.080089,BERKSHIRE HATHAWAY INC,7909013,BERKSHIRE HATHAWAY INC,false,2211,Electric Utilities,,221112,,1315217474838,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",false,7664939,152405,false,TRI,false,0,false,R,Pounds,0,3025,0,0,0,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,0,0,3025,0,0,0,0,0,0,81069,0,84094,,PRODUCTION,0.95,POINT (-111.080089 39.381462)
2017,84074PPMNCI80XX,110013709754,CLEAN HARBORS GRASSY MOUNTAIN LLC,3 MILES E 7 MILES N EXIT 41 ON I-80,GRANTSVILLE,TOOELE,UT,84029,,,40.825001,-113.208334,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,false,562,Hazardous Waste,,562211,,1317216311011,MANGANESE COMPOUNDS,false,N450,650010,true,TRI,true,1,false,R,Pounds,0.5533,0,0,0,0,0,0,12497,0,0,0,0,0,0,12497.5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,12497.6613,0,12497,0.5533,0,0.108,0,0,0,0,0,0,12497.6613,,PRODUCTION,0.75,POINT (-113.208334 40.825001)
2017,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,11600 NORTH APTUS ROAD,GRANTSVILLE,TOOELE,UT,84029,,,40.7344,-112.9681,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,false,562,Hazardous Waste,,562211,562213,1317216603579,DIAZINON,false,333415,42705,false,TRI,false,0,true,R,Pounds,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33739.15,0,0,0,0,33739.15,0,33739.15,0.03,0,0,0.03,0,0,0,0,0,0,12580,33739.15,46319.18,,ACTIVITY,1.2,POINT (-112.9681 40.7344)
2015,84119RBBRN3459S,110011782133,WEIR MINERALS LINATEX- SALT LAKE CITY,3459 SOUTH 700 WEST,SALT LAKE CITY,SALT LAKE,UT,84119,,,40.7523,-111.9045,WEIR GROUP PLC,NA,WEIR GROUP PLC,false,326,Plastics and Rubber,,326299,,1315214152163,LEAD COMPOUNDS,false,N420,650002,true,PBT,true,1,false,R,Pounds,0,14,3.43,0,0,0,0,0,0,0,0,0,0,0,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,1.81,0,0,0,0,0,341.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.81,359.24,0,0,17.43,341.81,0,0,0,0,0,0,0,359.24,,PRODUCTION,1,POINT (-111.9045 40.7523)
2015,84103MCLCM474WE,110000469243,TESORO REFINING & MARKETING COMPANY LLC - SLC,474 W 900 N,SALT LAKE CITY,SALT LAKE,UT,84103,,,40.7889,-111.90441,TESORO CORP,8133480,MARATHON PETROLEUM CORP,false,324,Petroleum,,324110,,1315216580237,ETHYLENE GLYCOL,false,107211,24257,true,TRI,false,0,false,R,Pounds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6002,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6002,6003,0,0,1,0,6002,0,0,0,0,0,0,6003,,ACTIVITY,1,POINT (-111.90441 40.7889)
2018,84054CNCNR245E1,110000468949,PHILLIPS 66 CO NORTH SALT LAKE PRODUCT TERMINAL,245 E 1100 N,NORTH SALT LAKE,DAVIS,UT,84054,,,40.86162,-111.90596,PHILLIPS 66 CO,78378508,PHILLIPS 66,false,4247,Petroleum Bulk Terminals,,424710,424720,1318216971135,ETHYLBENZENE,false,100414,19406,true,TRI,false,0,true,R,Pounds,29,63,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,0,0,92,1,0,0,0,0,0,450,0,543,,PRODUCTION,1.11,POINT (-111.90596 40.86162)
2016,84087PHLLP393SO,110000469136,HOLLYFRONTIER WOODS CROSS REFINING LLC,393 S 800 W,WOODS CROSS,DAVIS,UT,84087,,,40.886022,-111.904759,HOLLYFRONTIER CORP,8965808,HOLLYFRONTIER CORP,false,324,Petroleum,,324110,,1316215494966,ETHYLENE,false,74851,5090,false,TRI,false,0,false,R,Pounds,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,0,0,4300,0,0,0,0,0,0,380000,0,384300,,PRODUCTION,1.17,POINT (-111.904759 40.886022)
2018,84087PHLLP393SO,110000469136,HOLLYFRONTIER WOODS CROSS REFINING LLC,393 S 800 W,WOODS CROSS,DAVIS,UT,84087,,,40.886022,-111.904759,HOLLYFRONTIER CORP,8965808,HOLLYFRONTIER CORP,false,324,Petroleum,,324110,,1318217315833,MERCURY  and MERCURY COMPOUNDS,true,N458,650028,true,PBT,true,1,false,R,Pounds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,,PRODUCTION,0.74,POINT (-111.904759 40.886022)
2015,84074MXMGNROWLE,110045587352,US MAGNESIUM LLC,12819 N SKULL VALLEY RD,GRANTSVILLE,TOOELE,UT,84029,,,40.915581,-112.734253,THE RENCO GROUP INC,147854152,THE RENCO GROUP INC,false,331,Primary Metals,,331410,,1315214422521,CARBON TETRACHLORIDE,false,56235,2071,true,TRI,false,0,true,R,Pounds,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79700,0,0,0,0,79700,0,79700,16.8,0,0,16.8,0,0,0,0,0,0,79700,79700,159416.8,,PRODUCTION,1.02,POINT (-112.734253 40.915581)
2015,84513PCFCR3MILE,110000600608,PACIFICORP HUNTER PLANT,3 MILES S OF CASTLE DALE ON STATE HIGHTWAY 10,CASTLE DALE,EMERY,UT,84513,,,39.173145,-111.029389,BERKSHIRE HATHAWAY INC,7909013,BERKSHIRE HATHAWAY INC,false,2211,Electric Utilities,,221112,213113,1315213662455,COPPER COMPOUNDS,false,N100,649491,false,TRI,true,1,false,R,Pounds,9,181,0,0,0,0,0,0,51330,0,0,0,0,20,51540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22760,22760,0,0,0,0,0,0,0,0,0,0,0,22760,51540,0,51330,210,0,0,0,0,0,22760,0,0,74300,,PRODUCTION,1,POINT (-111.029389 39.173145)
