1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. PARENT CO NAME,15. PARENT CO DB NUM,16. STANDARD PARENT CO NAME,17. FEDERAL FACILITY,18. INDUSTRY SECTOR CODE,19. INDUSTRY SECTOR,20. PRIMARY SIC,26. PRIMARY NAICS,27. NAICS 2,32. DOC_CTRL_NUM,33. CHEMICAL,34. ELEMENTAL METAL INCLUDED,35. CAS #/COMPOUND ID,36. SRS ID,37. CLEAN AIR ACT CHEMICAL,38. CLASSIFICATION,39. METAL,40. METAL CATEGORY,41. CARCINOGEN,42. FORM TYPE,43. UNIT OF MEASURE,44. 5.1 - FUGITIVE AIR,45. 5.2 - STACK AIR,46. 5.3 - WATER,47. 5.4 - UNDERGROUND,48. 5.4.1 - UNDERGROUND CL I,49. 5.4.2 - UNDERGROUND C II-V,50. 5.5.1 - LANDFILLS,51. 5.5.1A - RCRA C LANDFILL,52. 5.5.1B - OTHER LANDFILLS,53. 5.5.2 - LAND TREATMENT,54. 5.5.3 - SURFACE IMPNDMNT,55. 5.5.3A - RCRA SURFACE IM,56. 5.5.3B - OTHER SURFACE I,57. 5.5.4 - OTHER DISPOSAL,58. ON-SITE RELEASE TOTAL,59. 6.1 - POTW - TRNS RLSE,60. 6.1 - POTW - TRNS TRT,61. POTW - TOTAL TRANSFERS,62. 6.2 - M10,63. 6.2 - M41,64. 6.2 - M62,65. 6.2 - M40 METAL,66. 6.2 - M61 METAL,67. 6.2 - M71,68. 6.2 - M81,69. 6.2 - M82,70. 6.2 - M72,71. 6.2 - M63,72. 6.2 - M66,73. 6.2 - M67,74. 6.2 - M64,75. 6.2 - M65,76. 6.2 - M73,77. 6.2 - M79,78. 6.2 - M90,79. 6.2 - M94,80. 6.2 - M99,81. OFF-SITE RELEASE TOTAL,82. 6.2 - M20,83. 6.2 - M24,84. 6.2 - M26,85. 6.2 - M28,86. 6.2 - M93,87. OFF-SITE RECYCLED TOTAL,88. 6.2 - M56,89. 6.2 - M92,90. OFF-SITE ENERGY RECOVERY T,91. 6.2 - M40 NON-METAL,92. 6.2 - M50,93. 6.2 - M54,94. 6.2 - M61 NON-METAL,95. 6.2 - M69,96. 6.2 - M95,97. OFF-SITE TREATED TOTAL,98. 6.2 - UNCLASSIFIED,99. 6.2 - TOTAL TRANSFER,100. TOTAL RELEASES,101. 8.1 - RELEASES,102. 8.1A - ON-SITE CONTAINED,103. 8.1B - ON-SITE OTHER,104. 8.1C - OFF-SITE CONTAIN,105. 8.1D - OFF-SITE OTHER R,106. 8.2 - ENERGY RECOVER ON,107. 8.3 - ENERGY RECOVER OF,108. 8.4 - RECYCLING ON SITE,109. 8.5 - RECYCLING OFF SIT,110. 8.6 - TREATMENT ON SITE,111. 8.7 - TREATMENT OFF SITE,112. PRODUCTION WSTE (8.1-8.7),113. 8.8 - ONE-TIME RELEASE,114. PROD_RATIO_OR_ ACTIVITY,115. 8.9 - PRODUCTION RATIO,New Georeferenced Column
2018,8411WGNVRC62S64,,GENEVA ROCK PRODUCTS   BACCHUS PIT,4699 S 6400 W,WEST VALLEY CITY,SALT LAKE,UT,84128,,,,,CLYDE COS,63560986,CLYDE COS INC,false,327,Nonmetallic Mineral Product,,327320,,1318217550401,LEAD,false,7439921,149583,true,PBT,true,1,true,R,Pounds,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,3.61,0,0,0,0,0,0,0,0,3.61,,,,
2015,84042CCCST1555W,110013337656,C & C CAST POLYMERS INC,1525W 275S,LINDON,UTAH,UT,84042,,,40.33346,-111.75253,NA,,NA,false,326,Plastics and Rubber,,326199,,1315213589169,STYRENE,false,100425,19414,true,TRI,false,0,true,R,Pounds,6021,2028,0,0,0,0,0,0,0,0,0,0,0,0,8049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8049,0,0,8049,0,0,0,0,0,0,0,0,8049,,PRODUCTION,1.19,POINT (-111.75253 40.33346)
2018,84087VLLYP727SO,110000469145,VALLEY PAINT MANUFACTURING,727 S 950 W,WOODS CROSS,DAVIS,UT,84087,,,40.883209,-111.906241,NA,,NA,false,325,Chemicals,,325510,,1318216743132,ETHYLBENZENE,false,100414,19406,true,TRI,false,0,true,R,Pounds,546.94,269.39,0,0,0,0,0,0,0,0,0,0,0,0,816.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816.33,0,0,816.33,0,0,0,0,0,0,0,0,816.33,,PRODUCTION,0.87,POINT (-111.906241 40.883209)
2018,84118BRDYC4825S,110042338832,BRODY CHEMICAL,6125 W DOUBLE EAGLE CIR,SALT LAKE CITY,SALT LAKE,UT,84118,,,40.66502,-112.03745,NA,,NA,false,325,Chemicals,,325998,,1318217041425,N-HEXANE,false,110543,26740,true,TRI,false,0,false,R,Pounds,250,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,250,0,0,0,0,0,0,0,0,250,,PRODUCTION,1,POINT (-112.03745 40.66502)
2016,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,11600 NORTH APTUS ROAD,GRANTSVILLE,TOOELE,UT,84029,,,40.7344,-112.9681,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,false,562,Hazardous Waste,,562211,562213,1316215689516,N-NITROSO-N-METHYLUREA,false,684935,67462,true,TRI,false,0,true,R,Pounds,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,10172,0,10172.01,,ACTIVITY,1,POINT (-112.9681 40.7344)
2018,84319MLLRN410NO,110000469699,SWIFT BEEF CO,410 N 200 W,HYRUM,CACHE,UT,84319,,,41.64415,-111.86086,JBS USA FOOD CO,48124978,JBS USA FOOD CO,false,311,Food,,311611,,1318216879066,AMMONIA,false,7664417,152389,false,TRI,false,0,false,R,Pounds,0,3561,0,0,0,0,0,0,0,0,0,0,0,0,3561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,306,0,0,0,0,0,0,15643,0,0,15643,0,15949,3561,0,0,3561,0,0,0,0,0,306,0,15643,19510,,PRODUCTION,1.06,POINT (-111.86086 41.64415)
2017,84029NVRCRUSINT,110000607184,ENERGYSOLUTIONS LLC,US INTERSTATE 80 EXIT 49 5 MILES S OF INTERSTATE,GRANTSVILLE,TOOELE,UT,84029,,,40.681111,-113.124722,ENERGYSOLUTIONS LLC,183786607,ENERGYSOLUTIONS LLC,false,562,Hazardous Waste,,562211,,1317216219358,ASBESTOS (FRIABLE),false,1332214,85282,true,TRI,false,2,true,R,Pounds,0,0,0,0,0,0,0,61902.43,787790.94,0,0,0,0,0,849693.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849693.37,0,849693.37,0,0,0,0,0,0,0,0,0,849693.37,,PRODUCTION,1.29,POINT (-113.124722 40.681111)
2018,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,11600 NORTH APTUS ROAD,GRANTSVILLE,TOOELE,UT,84029,,,40.7344,-112.9681,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,false,562,Hazardous Waste,,562211,562213,1318217503453,CHLOROFORM,false,67663,4317,true,TRI,false,0,true,R,Pounds,74.45,0.12,0,0,0,0,0,0,0,0,0,0,0,0,74.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,0,0,15.85,0,0,0.27,0,0,0.27,0,0,0,0,503.81,0,0,0,0,503.81,0,519.93,90.42,0,0,74.57,15.85,0,0,0,0,0.27,118082,503.81,118676.5,,ACTIVITY,1,POINT (-112.9681 40.7344)
2016,84119RBBRN3459S,110011782133,WEIR MINERALS LINATEX- SALT LAKE CITY,3459 SOUTH 700 WEST,SALT LAKE CITY,SALT LAKE,UT,84119,,,40.7523,-111.9045,WEIR GROUP PLC,NA,WEIR GROUP PLC,false,326,Plastics and Rubber,,326299,,1316215758691,ZINC COMPOUNDS,false,N982,649699,false,TRI,true,1,false,R,Pounds,0,14.668,11.11,0,0,0,0,0,0,0,0,0,0,0,25.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517,94.05,0,0,0,0,0,2611.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611.05,2636.828,0,0,25.778,2611.05,0,0,0,0,0,0,0,2636.828,,PRODUCTION,0.86,POINT (-111.9045 40.7523)
2015,84116STKRP2080N,110002274501,STAKER & PARSON COS BECK NORTH READY MIX & ASPHALT,2080 N BECK ST,SALT LAKE CITY,SALT LAKE,UT,84116,,,40.81162,-111.91876,CRH AMERICAS INC,37179591,CRH AMERICAS INC,false,327,Nonmetallic Mineral Product,,327320,,1315213831237,MERCURY,false,7439976,149633,true,PBT,true,1,false,R,Pounds,0.008,0.0007,0,0,0,0,0,0,0,0,0,0,0.42,0,0.4287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4287,0,0,0.4287,0,0,0,0,0,0,0,0,0.4287,,PRODUCTION,1.05,POINT (-111.91876 40.81162)
2017,84770STKRP1843E,110022811885,STAKER & PARSON COS ST GEORGE READY-MIX & ASPHALT,1843 E 4150 S,SAINT GEORGE,WASHINGTON,UT,84790,,,37.037627,-113.544195,CRH AMERICAS INC,37176591,CRH AMERICAS INC,false,324,Petroleum,,324121,,1317216447577,POLYCYCLIC AROMATIC COMPOUNDS,false,N590,649749,true,PBT,false,0,true,R,Pounds,0.22,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0.37,,PRODUCTION,0.95,POINT (-113.544195 37.037627)
2017,84624GRYMN32MIL,110008061239,GRAYMONT WESTERN U.S. INC CRICKET MTN LIME PRODUCTION,32 MILES SW OF DELTA HWY 257,DELTA,MILLARD,UT,84624,,,38.938951,-112.816647,GRAYMONT LTD,NA,GRAYMONT LTD,false,999,Other,,212312,,1317216443628,LEAD,false,7439921,149583,true,PBT,true,1,true,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,7811.7,7811.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7811.7,0,0,7811.7,0,0,0,0,0,0,0,0,7811.7,,ACTIVITY,0.88,POINT (-112.816647 38.938951)
2017,84770HYCCK845NI,110056978677,THOMAS PETROLEUM SAINT GEORGE BULK PLANT,845 N INDUSTRIAL RD,SAINT GEORGE,WASHINGTON,UT,84770,,,37.12134,-113.55533,MAXUM ENTERPRISES LLC,79811123,MAXUM ENTERPRISES LLC,false,4247,Petroleum Bulk Terminals,,424710,,1317217563752,NAPHTHALENE,false,91203,13326,true,TRI,false,0,true,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,POINT (-113.55533 37.12134)
2015,84526PCFCRINTER,110000607200,PACIFICORP CARBON PLANT,INTERSECTION HWY 6 & 191,HELPER,CARBON,UT,84526,,,39.7271,-110.8645,BERKSHIRE HATHAWAY INC,7909013,BERKSHIRE HATHAWAY INC,false,2211,Electric Utilities,,221112,,1315213908698,HYDROGEN FLUORIDE,false,7664393,152371,true,TRI,false,0,false,R,Pounds,0,36160,0,0,0,0,0,0,0,0,0,0,0,0,36160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36160,0,0,36160,0,0,0,0,0,0,8635,0,44795,,PRODUCTION,0.31,POINT (-110.8645 39.7271)
2015,84087PHLLP393SO,110000469136,HOLLYFRONTIER WOODS CROSS REFINING LLC,393 S 800 W,WOODS CROSS,DAVIS,UT,84087,,,40.886022,-111.904759,HOLLYFRONTIER CORP,8965808,HOLLYFRONTIER CORP,false,324,Petroleum,,324110,,1315214356851,"1,3-BUTADIENE",false,106990,24042,true,TRI,false,0,true,R,Pounds,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,,PRODUCTION,0.95,POINT (-111.904759 40.886022)
2017,84103MCLCM474WE,110000469243,TESORO REFINING & MARKETING COMPANY LLC - SLC,474 W 900 N,SALT LAKE CITY,SALT LAKE,UT,84103,,,40.7889,-111.90441,TESORO CORP,8133480,MARATHON PETROLEUM CORP,false,324,Petroleum,,324110,,1317216582306,"1,2,4-TRIMETHYLBENZENE",false,95636,16261,false,TRI,false,0,false,R,Pounds,1434,504,0,0,0,0,0,0,0,0,0,0,0,11,1949,153.28,325.72,479,0,0,0,0,0,0,0,0,0,0,0,0,1.95,14.69,0,0,0,0,0.21,170.13,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,327.28,0,344.13,2119.13,0,0,1949,52.81,100.8,0,0,0,0,0,325.78,2428.39,18.02,PRODUCTION,1.07,POINT (-111.90441 40.7889)
2017,84054CNCNR245E1,110000468949,PHILLIPS 66 CO NORTH SALT LAKE PRODUCT TERMINAL,245 E 1100 N,NORTH SALT LAKE,DAVIS,UT,84054,,,40.86162,-111.90596,PHILLIPS 66 CO,78378508,PHILLIPS 66,false,4247,Petroleum Bulk Terminals,,424710,424720,1317216160376,N-HEXANE,false,110543,26740,true,TRI,false,0,false,R,Pounds,200,560,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,760,0,0,760,0,0,0,0,0,1,12000,0,12761,,PRODUCTION,0.94,POINT (-111.90596 40.86162)
2016,84530LSBNV92SCU,110025331843,LISBON VALLEY MINING CO LLC,920 S COUNTY RD 313,LA SAL,UTAH,UT,84530,,,38.265674,-109.290161,NA,,NA,false,2122,Metal Mining,,212234,,1316215671367,NITRATE COMPOUNDS,false,N511,649616,false,TRI,false,0,false,R,Pounds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,PRODUCTION,0.2,POINT (-109.290161 38.265674)
2018,84006KNNCT12300,110000468805,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,8362 WEST 10200 SOUTH,BINGHAM CANYON,SALT LAKE,UT,84006,,,40.516667,-112.15,RIO TINTO AMERICA INC,NA,RIO TINTO AMERICA INC,false,2122,Metal Mining,,212230,221112,1318217031501,LEAD COMPOUNDS,false,N420,650002,true,PBT,true,1,false,R,Pounds,810.27,2,19,0,0,0,0,0,959,0,0,0,2926030,176127605,179055425.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179055425.27,0,959,179054463.27,0,0,0,0,0,0,0,0,179055422.27,3,PRODUCTION,1.08,POINT (-112.15 40.516667)
2016,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,11600 NORTH APTUS ROAD,GRANTSVILLE,TOOELE,UT,84029,,,40.7344,-112.9681,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,false,562,Hazardous Waste,,562211,562213,1316215688805,CHLOROBENZENE,false,108907,25478,true,TRI,false,0,false,R,Pounds,12.47,0.24,0,0,0,0,0,0,0,0,0,0,0,0,12.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,11039.7,0,0,0,0,11039.7,0,11043.68,16.69,0,0,12.71,3.98,0,0,0,0,0,240674,11039.7,251730.39,,ACTIVITY,1,POINT (-112.9681 40.7344)
2017,84029NVRCRUSINT,110000607184,ENERGYSOLUTIONS LLC,US INTERSTATE 80 EXIT 49 5 MILES S OF INTERSTATE,GRANTSVILLE,TOOELE,UT,84029,,,40.681111,-113.124722,ENERGYSOLUTIONS LLC,183786607,ENERGYSOLUTIONS LLC,false,562,Hazardous Waste,,562211,,1317216219384,LEAD COMPOUNDS,false,N420,650002,true,PBT,true,1,false,R,Pounds,0,0,0,0,0,0,0,321683.14,247.92,0,0,0,0,0,321931.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321931.06,0,321931.06,0,0,0,0,0,0,0,0,0,321931.06,,ACTIVITY,1,POINT (-113.124722 40.681111)
2017,84054CNCNR245E1,110000468949,PHILLIPS 66 CO NORTH SALT LAKE PRODUCT TERMINAL,245 E 1100 N,NORTH SALT LAKE,DAVIS,UT,84054,,,40.86162,-111.90596,PHILLIPS 66 CO,78378508,PHILLIPS 66,false,4247,Petroleum Bulk Terminals,,424710,424720,1317216160352,ETHYLBENZENE,false,100414,19406,true,TRI,false,0,true,R,Pounds,29,63,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,92,0,0,92,0,0,0,0,0,1,450,0,543,,PRODUCTION,0.94,POINT (-111.90596 40.86162)
2016,84057LRCHN1165N,110000468994,GENEVA NITROGEN LLC,1165 N 1600 W,VINEYARD,UTAH,UT,84057,,,40.3183,-111.735,NA,,NA,false,325,Chemicals,,325311,,1316215040989,NITRATE COMPOUNDS,false,N511,649616,false,TRI,false,0,false,R,Pounds,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2694.9,24254.1,26949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24254.1,0,24254.1,2699.9,0,0,5,0,2694.9,0,0,10895,0,0,24254.1,37849,,ACTIVITY,1,POINT (-111.735 40.3183)
2017,84054BGWST333WE,110000468921,BIG WEST OIL LLC,333 W CENTER ST,NORTH SALT LAKE,DAVIS,UT,84054,,,40.838386,-111.921443,FJ MANAGEMENT INC.,45267002,FJ MANAGEMENT INC,false,324,Petroleum,,324110,,1317215840683,ETHYLBENZENE,false,100414,19406,true,TRI,false,0,true,R,Pounds,46.59,250,0,0,0,0,0,0,0,0,0,0,0,0,296.59,116.1408,125.8192,241.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.1408,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,128.3092,0,128.3092,412.7308,0,0,296.59,7.2588,108.882,0,0,4460.26,0,0,128.3092,5001.3,,PRODUCTION,0.95,POINT (-111.921443 40.838386)
2018,84066BJSRV1661W,110015679210,MULTI-CHEM GROUP ROOSEVELT UT FACILITY,1661 W HWY 40,ROOSEVELT,DUCHESNE,UT,84066,,,40.277244,-110.022796,HALLIBURTON ENERGY SERVICES INC,43296920,HALLIBURTON ENERGY SERVICES INC,false,4246,Chemical Wholesalers,,424690,,1318216861880,METHANOL,false,67561,4283,true,TRI,false,0,false,R,Pounds,330,400,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,355,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,370,1085,0,0,730,0,355,0,15,0,0,0,0,1100,0,PRODUCTION,0.83,POINT (-110.022796 40.277244)
2015,84330NCRST7285W,110020079537,NUCOR STEEL - A DIV OF NUCOR CORP,7825 W 21200 N,PLYMOUTH,BOX ELDER,UT,84330,,,41.8825,-112.1964,NUCOR CORP,3446796,NUCOR CORP,false,331,Primary Metals,,331110,,1315213805551,CADMIUM COMPOUNDS,false,N078,649954,true,TRI,true,1,true,R,Pounds,51,178,0,0,0,0,0,0,2114,0,0,0,0,0,2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1154,0,0,0,0,0,1157,0,21351,0,0,0,21351,0,0,0,0,0,0,0,0,0,0,0,22508,3500,0,2112,229,1157,0,0,0,0,21351,0,0,24849,2,PRODUCTION,0.88,POINT (-112.1964 41.8825)
2017,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,11600 NORTH APTUS ROAD,GRANTSVILLE,TOOELE,UT,84029,,,40.7344,-112.9681,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,false,562,Hazardous Waste,,562211,562213,1317216603706,HYDROGEN FLUORIDE,false,7664393,152371,true,TRI,false,0,false,R,Pounds,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55,0,0,0,0,0,21.55,0,0,0,0,0,0,0,0,0,0,617.88,0,0,0,0,617.88,0,639.43,21.6,0,0,0.05,21.55,0,0,0,0,0,32239,617.88,32878.48,,ACTIVITY,1.2,POINT (-112.9681 40.7344)
2017,84720MRCNZ10622,110000566593,AMERICAN PACIFIC CORP UTAH OPERATIONS,10622 W 6400 N,CEDAR CITY,IRON,UT,84721,,,37.79484,-113.11346,AMERICAN PACIFIC CORP,NA,AMERICAN PACIFIC CORP,false,325,Chemicals,,325180,325998,1317216077368,NITRATE COMPOUNDS,false,N511,649616,false,TRI,false,0,false,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,POINT (-113.11346 37.79484)
2018,84088DNNNC6165A,110000469154,DANONE US LLC,6165 W DANNON WAY,WEST JORDAN,SALT LAKE,UT,84081,,,40.58287,-112.03597,NA,,DANONEWAVE,false,311,Food,,311511,,1318216744274,NITRIC ACID,false,7697372,152686,false,TRI,false,0,false,R,Pounds,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,498241,0,498256,,ACTIVITY,0.97,POINT (-112.03597 40.58287)
2015,84116CHVRN2351N,110000469485,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,2351 NORTH 1100 WEST,SALT LAKE CITY,SALT LAKE,UT,84116,,,40.8249,-111.9238,CHEVRON CORP,1382555,CHEVRON CORP,false,324,Petroleum,,324110,424710,1315213907999,NICKEL COMPOUNDS,false,N495,650036,true,TRI,true,1,true,R,Pounds,32,22,26,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,30,0,26000,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,26030,110,0,0,80,30,0,0,0,0,26000,0,0,26110,,PRODUCTION,1.15,POINT (-111.9238 40.8249)
2017,84006KNNCT8362W,110009506347,KENNECOTT UTAH COPPER SMELTER & REFINERY,12000 WEST 2100 SOUTH & 11500 W 2100 S,MAGNA,SALT LAKE,UT,84044,,,40.734036,-112.14104,RIO TINTO AMERICA INC,NA,RIO TINTO AMERICA INC,false,331,Primary Metals,,331410,,1317216162786,COPPER COMPOUNDS,false,N100,649491,false,TRI,true,1,false,R,Pounds,5047,17182,281,0,0,0,0,0,1,0,0,0,17955784,5,17978300,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,23,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,17978546,0,1,17978294,157,89,0,0,0,0,0,0,17978541,5,ACTIVITY,0.66,POINT (-112.14104 40.734036)
2018,84087CRYSN2355S,110000499069,SILVER EAGLE REFINING WOODS CROSS,2355 S 1100 W,WOODS CROSS,DAVIS,UT,84087,,,40.86631,-111.91187,THE INTERNATIONAL GROUP INC,2358455,THE INTERNATIONAL GROUP INC,false,324,Petroleum,,324110,,1318216766600,POLYCYCLIC AROMATIC COMPOUNDS,false,N590,649749,true,PBT,false,0,true,R,Pounds,0.84,0.49,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,1.33,0,0,0,0,13.674,0,0,0,15.004,,PRODUCTION,0.99,POINT (-111.91187 40.86631)
2015,84404WSTRN10000,110000758378,WESTERN ZIRCONIUM,"10,000 W 900 S",OGDEN,WEBER,UT,84404,,,41.260369,-112.231233,WESTINGHOUSE ELECTRIC CO LLC,62661272,WESTINGHOUSE ELECTRIC CO LLC,false,331,Primary Metals,,331410,331491,1315213551296,PHOSGENE,false,75445,5587,true,TRI,false,0,false,R,Pounds,1200,930,0,0,0,0,0,0,0,0,0,0,0,0,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130,0,0,2130,0,0,0,0,0,0,39100,0,41230,,PRODUCTION,1.05,POINT (-112.231233 41.260369)
2016,84116CHVRN2351N,110000469485,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,2351 NORTH 1100 WEST,SALT LAKE CITY,SALT LAKE,UT,84116,,,40.8249,-111.9238,CHEVRON CORP,1382555,CHEVRON CORP,false,324,Petroleum,,324110,424710,1316215281039,"1,2,4-TRIMETHYLBENZENE",false,95636,16261,false,TRI,false,0,false,R,Pounds,577.6,1079.6,0,0,0,0,0,0,0,0,0,0,0,0,1657.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.35,0,0,0,69.35,0,69.35,1657.2,0,0,1657.2,0,0,0,0,0,0,0,69.35,1726.55,,PRODUCTION,1.04,POINT (-111.9238 40.8249)
